Integrals of exp(-x) within [0.000000e+000,1.000000e+000] using Romberg integration

i,j        N  integral R_i,j  e               epsilon 
1,1        4  6.354094e-001 
2,1        8  6.329433e-001 
2,2        8  6.323268e-001  -3.082573e-003  -4.851318e-003 
3,1       16  6.323263e-001 
3,2       16  6.321720e-001 
3,3       16  6.321411e-001  -1.857281e-004  -2.937216e-004 
4,1       32  6.321720e-001 
4,2       32  6.321335e-001 
4,3       32  6.321258e-001 
4,4       32  6.321232e-001  -1.788139e-005  -2.828703e-005 
5,1       64  6.321335e-001 
5,2       64  6.321239e-001 
5,3       64  6.321220e-001 
5,4       64  6.321214e-001 
5,5       64  6.321212e-001  -2.026558e-006  -3.205954e-006 
6,1      128  6.321238e-001 
6,2      128  6.321213e-001 
6,3      128  6.321208e-001 
6,4      128  6.321206e-001 
6,5      128  6.321205e-001 
6,6      128  -1.#INF00e+000  -1.#INF00e+000  -1.#INF00e+000 
7,1      256  6.321217e-001 
7,2      256  6.321211e-001 
7,3      256  6.321211e-001 
7,4      256  6.321211e-001 
7,5      256  6.321212e-001 
7,6      256  1.#INF00e+000 
