Integrals of exp(-x) within [0.000000e+000,1.000000e+000] using Simpson's rule

 i        N  integral       e               epsilon 
 1        2  2.052194e+000
 2        4  1.884985e+000  -1.672089e-001  -8.147810e-002
 3        8  1.801618e+000  -2.505769e-001  -1.221019e-001
 4       16  1.759949e+000  -4.166877e-002  -2.312853e-002
 5       32  1.739115e+000  -2.083361e-002  -1.183762e-002
 6       64  1.728699e+000  -1.041651e-002  -5.989545e-003
 7      128  1.723490e+000  -5.208373e-003  -3.012887e-003
 8      256  1.720886e+000  -2.604127e-003  -1.510961e-003
 9      512  1.719583e+000  -1.302838e-003  -7.570741e-004
10     1024  1.718933e+000  -6.505251e-004  -3.783039e-004
11     2048  1.718608e+000  -3.250837e-004  -1.891195e-004
12     4096  1.718444e+000  -1.641512e-004  -9.551406e-005
13     8192  1.718364e+000  -7.998943e-005  -4.654761e-005
14    16384  1.718324e+000  -3.981590e-005  -2.317083e-005
15    32768  1.718304e+000  -1.990795e-005  -1.158568e-005
16    65536  1.718295e+000  -9.179115e-006  -5.341963e-006
17   131072  1.718297e+000  2.264977e-006  1.318154e-006
18   262144  1.718269e+000  -2.789497e-005  -1.623408e-005
19   524288  1.718278e+000  8.583069e-006  4.995184e-006
20  1048576  1.718773e+000  4.954338e-004  2.883316e-004
