Correlation function xi(r) calculated from lcdm_z0.matter_pk within r = [0.000000, 120.000000]

r : scale; xi_1 : integral between 0 and k_min; xi_2 : integral within data range; xi_3 : integral from k_max to +INF

    r        xi_1         xi_2         xi_3          xi       r^2*xi_2      r^2*xi
  0.00 -1.#IND00e+000 -1.#IND00e+000 -1.#IND00e+000 -1.#IND00e+000 -1.#IND00e+000 -1.#IND00e+000
  0.10 8.354780e-012 2.834805e+001 9.265857e+000 3.761391e+001 2.834805e-001 3.761391e-001
  0.20 8.354780e-012 2.530431e+001 3.190165e-001 2.562333e+001 1.012173e+000 1.024933e+000
  0.30 8.354780e-012 2.124915e+001 -1.321334e+000 1.992782e+001 1.912424e+000 1.793504e+000
  0.40 8.354780e-012 1.722849e+001 -8.000902e-001 1.642840e+001 2.756559e+000 2.628544e+000
  0.50 8.354780e-012 1.401372e+001 3.784551e-003 1.401750e+001 3.503430e+000 3.504376e+000
  0.60 8.354780e-012 1.186985e+001 3.747510e-001 1.224460e+001 4.273145e+000 4.408055e+000
  0.70 8.354780e-012 1.059868e+001 2.822427e-001 1.088092e+001 5.193353e+000 5.331652e+000
  0.80 8.354780e-012 9.783525e+000 1.014172e-002 9.793666e+000 6.261456e+000 6.267946e+000
  0.90 8.354780e-012 9.065314e+000 -1.648250e-001 8.900489e+000 7.342904e+000 7.209396e+000
  1.00 8.354780e-012 8.296932e+000 -1.473831e-001 8.149549e+000 8.296932e+000 8.149549e+000
  1.10 8.354780e-012 7.525827e+000 -1.771098e-002 7.508116e+000 9.106251e+000 9.084820e+000
  1.20 8.354780e-012 6.867454e+000 8.722013e-002 6.954674e+000 9.889134e+000 1.001473e+001
  1.30 8.354780e-012 6.381591e+000 9.185971e-002 6.473451e+000 1.078489e+001 1.094013e+001
  1.40 8.354780e-012 6.031330e+000 2.011233e-002 6.051443e+000 1.182141e+001 1.186083e+001
  1.50 8.354780e-012 5.728086e+000 -5.053992e-002 5.677547e+000 1.288819e+001 1.277448e+001
  1.60 8.354780e-012 5.405780e+000 -6.296030e-002 5.342820e+000 1.383880e+001 1.367762e+001
  1.70 8.354780e-012 5.061026e+000 -2.025994e-002 5.040766e+000 1.462637e+001 1.456782e+001
  1.80 8.354780e-012 4.736526e+000 3.050368e-002 4.767030e+000 1.534635e+001 1.544518e+001
  1.90 8.354780e-012 4.472867e+000 4.562268e-002 4.518489e+000 1.614705e+001 1.631175e+001
  2.00 8.354780e-012 4.272891e+000 1.943657e-002 4.292327e+000 1.709156e+001 1.716931e+001
  2.10 8.354780e-012 4.104109e+000 -1.848480e-002 4.085624e+000 1.809912e+001 1.801760e+001
  2.20 8.354780e-012 3.929707e+000 -3.419246e-002 3.895514e+000 1.901978e+001 1.885429e+001
  2.30 8.354780e-012 3.737825e+000 -1.819739e-002 3.719628e+000 1.977310e+001 1.967683e+001
  2.40 8.354780e-012 3.545537e+000 1.080379e-002 3.556340e+000 2.042229e+001 2.048452e+001
  2.50 8.354780e-012 3.378508e+000 2.614069e-002 3.404648e+000 2.111567e+001 2.127905e+001
  2.60 8.354780e-012 3.246955e+000 1.679392e-002 3.263749e+000 2.194941e+001 2.206294e+001
  2.70 8.354780e-012 3.138386e+000 -5.678629e-003 3.132707e+000 2.287883e+001 2.283743e+001
  2.80 8.354780e-012 3.030562e+000 -2.018918e-002 3.010372e+000 2.375960e+001 2.360132e+001
  2.90 8.354780e-012 2.910959e+000 -1.534552e-002 2.895613e+000 2.448116e+001 2.435211e+001
  3.00 8.354780e-012 2.785410e+000 2.161683e-003 2.787571e+000 2.506869e+001 2.508814e+001
  3.10 8.354780e-012 2.670125e+000 1.563087e-002 2.685756e+000 2.565990e+001 2.581011e+001
  3.20 8.354780e-012 2.575986e+000 1.391047e-002 2.589896e+000 2.637809e+001 2.652054e+001
  3.30 8.354780e-012 2.499402e+000 2.893450e-004 2.499692e+000 2.721849e+001 2.722164e+001
  3.40 8.354780e-012 2.426709e+000 -1.204580e-002 2.414663e+000 2.805275e+001 2.791350e+001
  3.50 8.354780e-012 2.346732e+000 -1.251786e-002 2.334214e+000 2.874746e+001 2.859412e+001
  3.60 8.354780e-012 2.259813e+000 -2.003491e-003 2.257810e+000 2.928718e+001 2.926121e+001
  3.70 8.354780e-012 2.175951e+000 9.170945e-003 2.185122e+000 2.978876e+001 2.991431e+001
  3.80 8.354780e-012 2.104828e+000 1.118222e-002 2.116010e+000 3.039371e+001 3.055519e+001
