Derivatives of cos(x) at 10.000000 using central difference method

 i  h              derivative      e               epsilon 
 1  5.000000e-001  5.216352e-001
 2  2.500000e-001  5.383719e-001  1.673669e-002  3.208504e-002
 3  1.250000e-001  5.426056e-001  4.233718e-003  7.863928e-003
 4  6.250000e-002  5.436673e-001  1.061678e-003  1.956629e-003
 5  3.125000e-002  5.439320e-001  2.646446e-004  4.867768e-004
 6  1.562500e-002  5.439987e-001  6.675720e-005  1.227308e-004
 7  7.812500e-003  5.440178e-001  1.907349e-005  3.506164e-005
 8  3.906250e-003  5.440216e-001  3.814697e-006  7.012082e-006
 9  1.953125e-003  5.440216e-001  0.000000e+000  0.000000e+000
10  9.765625e-004  5.440369e-001  1.525879e-005  2.804813e-005
11  4.882813e-004  5.440063e-001  -3.051758e-005  -5.609469e-005
12  2.441406e-004  5.439453e-001  -6.103516e-005  -1.121957e-004
13  1.220703e-004  5.439453e-001  0.000000e+000  0.000000e+000
14  6.103516e-005  5.439453e-001  0.000000e+000  0.000000e+000
15  3.051758e-005  5.439453e-001  0.000000e+000  0.000000e+000
16  1.525879e-005  5.449219e-001  9.765625e-004  1.795332e-003
17  7.629395e-006  5.429688e-001  -1.953125e-003  -3.584229e-003
18  3.814697e-006  5.468750e-001  3.906250e-003  7.194245e-003
19  1.907349e-006  5.468750e-001  0.000000e+000  0.000000e+000
20  9.536743e-007  5.312500e-001  -1.562500e-002  -2.857143e-002
