Derivatives of exp(x) at 10.000000 using central difference method

 i  h              derivative      e               epsilon 
 1  5.000000e-001  2.295578e+004
 2  2.500000e-001  2.225663e+004  -6.991523e+002  -3.045649e-002
 3  1.250000e-001  2.208388e+004  -1.727500e+002  -7.761734e-003
 4  6.250000e-002  2.204081e+004  -4.306250e+001  -1.949952e-003
 5  3.125000e-002  2.203003e+004  -1.078125e+001  -4.891494e-004
 6  1.562500e-002  2.202738e+004  -2.656250e+000  -1.205740e-004
 7  7.812500e-003  2.202663e+004  -7.500000e-001  -3.404854e-005
 8  3.906250e-003  2.202675e+004  1.250000e-001  5.674950e-006
 9  1.953125e-003  2.202600e+004  -7.500000e-001  -3.404951e-005
10  9.765625e-004  2.202600e+004  0.000000e+000  0.000000e+000
11  4.882813e-004  2.202600e+004  0.000000e+000  0.000000e+000
12  2.441406e-004  2.202400e+004  -2.000000e+000  -9.080178e-005
13  1.220703e-004  2.202400e+004  0.000000e+000  0.000000e+000
14  6.103516e-005  2.203200e+004  8.000000e+000  3.632401e-004
15  3.051758e-005  2.204800e+004  1.600000e+001  7.262164e-004
16  1.525879e-005  2.208000e+004  3.200000e+001  1.451379e-003
17  7.629395e-006  2.214400e+004  6.400000e+001  2.898551e-003
18  3.814697e-006  2.227200e+004  1.280000e+002  5.780347e-003
19  1.907349e-006  2.201600e+004  -2.560000e+002  -1.149425e-002
20  9.536743e-007  2.150400e+004  -5.120000e+002  -2.325581e-002
