Cubic spline of log_of_lcdm_z0.matter_pk with boundary conditions : f"(x_0) = 0.000000e+000, f"(x_n) = 0.000000e+000

f(x | [x_j , x_j+1]) 
= m_j+1 * (x - x_j) ^ 3 / (6 * h_j) - m_j * (x - x_j+1) ^ 3 / (6 * h_j) 
  + (6 * y_j+1 - m_j+1 * h_j ^ 2) * (x - x_j) / (6 * h_j) 
  - (6 * y_j - m_j * h_j ^ 2) * (x - x_j+1) / (6 * h_j)
= (m_j+1 - m_j) * (x - x_j) ^ 3 / (6 * h_j) + m_j * (x - x_j) ^ 2 / 2 
  + ((y_j+1 - y_j) / h_j - (2 * m_j * h_j + m_j+1 * h_j) / 6) * (x - x_j) + y_j

    j       x_j            y_j      h_j=x_j+1-x_j   m_j=f"(x_j)        a_j            b_j            c_j      
    0 -4.000000e+000 2.813809e+000 9.999990e-003 0.000000e+000 -6.455842e-002 0.000000e+000 9.496286e-001
    1 -3.990000e+000 2.823305e+000 1.000023e-002 -3.873501e-003 9.638930e-002 -1.936751e-003 9.496092e-001
    2 -3.980000e+000 2.832802e+000 9.999752e-003 1.909989e-003 -1.186443e-001 9.549946e-004 9.495994e-001
    3 -3.970000e+000 2.842297e+000 9.999990e-003 -5.208495e-003 1.758029e-001 -2.604248e-003 9.495829e-001
    4 -3.960000e+000 2.851793e+000 9.999752e-003 5.339667e-003 -3.701984e-001 2.669834e-003 9.495835e-001
    5 -3.950000e+000 2.861289e+000 1.000047e-002 -1.687168e-002 3.994061e-001 -8.435842e-003 9.495259e-001
    6 -3.940000e+000 2.870784e+000 9.999990e-003 7.093804e-003 -9.562373e-002 3.546902e-003 9.494770e-001
    7 -3.930000e+000 2.880279e+000 9.999752e-003 1.356386e-003 -2.433122e-001 6.781930e-004 9.495192e-001
    8 -3.920000e+000 2.889774e+000 1.000023e-002 -1.324198e-002 3.897188e-001 -6.620992e-003 9.494598e-001
    9 -3.910000e+000 2.899268e+000 9.999752e-003 1.014168e-002 -4.101390e-001 5.070838e-003 9.494443e-001
   10 -3.900000e+000 2.908762e+000 1.000023e-002 -1.446605e-002 3.453315e-001 -7.233026e-003 9.494227e-001
   11 -3.890000e+000 2.918257e+000 9.999990e-003 6.254316e-003 -2.921592e-001 3.127158e-003 9.493816e-001
   12 -3.880000e+000 2.927750e+000 9.999990e-003 -1.127522e-002 3.585255e-001 -5.637611e-003 9.493566e-001
   13 -3.870000e+000 2.937244e+000 9.999752e-003 1.023629e-002 -4.387678e-001 5.118145e-003 9.493513e-001
   14 -3.860000e+000 2.946737e+000 1.000023e-002 -1.608913e-002 2.406487e-001 -8.044563e-003 9.493220e-001
   15 -3.850000e+000 2.956230e+000 9.999990e-003 -1.649876e-003 1.551345e-001 -8.249378e-004 9.492334e-001
   16 -3.840000e+000 2.965722e+000 9.999752e-003 7.658187e-003 -3.843715e-001 3.829094e-003 9.492634e-001
   17 -3.830000e+000 2.975215e+000 9.999990e-003 -1.540353e-002 2.144025e-001 -7.701765e-003 9.492247e-001
   18 -3.820000e+000 2.984706e+000 1.000023e-002 -2.539394e-003 3.636572e-003 -1.269697e-003 9.491349e-001
   19 -3.810000e+000 2.994198e+000 9.999990e-003 -2.321195e-003 -1.479022e-002 -1.160597e-003 9.491107e-001
   20 -3.800000e+000 3.003689e+000 9.999990e-003 -3.208607e-003 6.765150e-002 -1.604303e-003 9.490830e-001
   21 -3.790000e+000 3.013180e+000 9.999990e-003 8.504796e-004 -2.558158e-001 4.252398e-004 9.490712e-001
   22 -3.780000e+000 3.022670e+000 9.999990e-003 -1.449845e-002 2.403540e-001 -7.249227e-003 9.490030e-001
   23 -3.770000e+000 3.032160e+000 9.999990e-003 -7.722979e-005 9.657699e-003 -3.861489e-005 9.489301e-001
   24 -3.760000e+000 3.041649e+000 9.999990e-003 5.022316e-004 -2.789848e-001 2.511158e-004 9.489322e-001
   25 -3.750000e+000 3.051138e+000 9.999990e-003 -1.623684e-002 3.910236e-001 -8.118419e-003 9.488536e-001
   26 -3.740000e+000 3.060626e+000 9.999990e-003 7.224557e-003 -3.314328e-001 3.612278e-003 9.488085e-001
   27 -3.730000e+000 3.070114e+000 9.999990e-003 -1.266139e-002 -1.896954e-002 -6.330695e-003 9.487813e-001
   28 -3.720000e+000 3.079601e+000 1.000023e-002 -1.379956e-002 4.195568e-001 -6.899781e-003 9.486490e-001
   29 -3.710000e+000 3.089088e+000 9.999752e-003 1.137442e-002 -5.039650e-001 5.687210e-003 9.486369e-001
   30 -3.700000e+000 3.098574e+000 9.999990e-003 -1.886273e-002 2.024596e-001 -9.431366e-003 9.485995e-001
   31 -3.690000e+000 3.108059e+000 9.999990e-003 -6.715167e-003 1.587192e-001 -3.357583e-003 9.484715e-001
   32 -3.680000e+000 3.117544e+000 9.999990e-003 2.807973e-003 -3.604977e-001 1.403986e-003 9.484520e-001
   33 -3.670000e+000 3.127028e+000 1.000023e-002 -1.882187e-002 3.419241e-001 -9.410934e-003 9.483719e-001
   34 -3.660000e+000 3.136511e+000 9.999752e-003 1.694047e-003 -3.289775e-001 8.470237e-004 9.482863e-001
   35 -3.650000e+000 3.145994e+000 1.000023e-002 -1.804411e-002 3.080387e-001 -9.022056e-003 9.482046e-001
   36 -3.640000e+000 3.155475e+000 9.999990e-003 4.386342e-004 -2.250123e-001 2.193171e-004 9.481165e-001
   37 -3.630000e+000 3.164956e+000 9.999990e-003 -1.306209e-002 1.275211e-001 -6.531046e-003 9.480534e-001
   38 -3.620000e+000 3.174436e+000 9.999990e-003 -5.410833e-003 -4.665287e-002 -2.705416e-003 9.479610e-001
   39 -3.610000e+000 3.183916e+000 9.999752e-003 -8.210002e-003 -1.917855e-001 -4.105001e-003 9.478930e-001
   40 -3.600000e+000 3.193394e+000 1.000023e-002 -1.971685e-002 3.742858e-001 -9.858425e-003 9.477533e-001
   41 -3.590000e+000 3.202871e+000 9.999990e-003 2.740814e-003 -3.890910e-001 1.370407e-003 9.476684e-001
   42 -3.580000e+000 3.212347e+000 9.999990e-003 -2.060462e-002 2.408576e-001 -1.030231e-002 9.475791e-001
   43 -3.570000e+000 3.221822e+000 9.999990e-003 -6.153180e-003 -9.750084e-002 -3.076590e-003 9.474453e-001
   44 -3.560000e+000 3.231296e+000 9.999990e-003 -1.200322e-002 -8.927359e-002 -6.001612e-003 9.473546e-001
   45 -3.550000e+000 3.240769e+000 9.999990e-003 -1.735963e-002 2.161759e-001 -8.679817e-003 9.472077e-001
   46 -3.540000e+000 3.250241e+000 9.999990e-003 -4.389091e-003 -2.985916e-001 -2.194545e-003 9.470990e-001
   47 -3.530000e+000 3.259711e+000 9.999990e-003 -2.230457e-002 2.629327e-001 -1.115228e-002 9.469655e-001
   48 -3.520000e+000 3.269180e+000 9.999990e-003 -6.528624e-003 -2.763006e-001 -3.264312e-003 9.468213e-001
   49 -3.510000e+000 3.278647e+000 9.999990e-003 -2.310665e-002 3.654314e-001 -1.155332e-002 9.466732e-001
   50 -3.500000e+000 3.288113e+000 9.999990e-003 -1.180783e-003 -4.701672e-001 -5.903916e-004 9.465517e-001
   51 -3.490000e+000 3.297578e+000 9.999990e-003 -2.939079e-002 3.231409e-001 -1.469539e-002 9.463989e-001
   52 -3.480000e+000 3.307041e+000 9.999990e-003 -1.000235e-002 -1.071385e-001 -5.001176e-003 9.462019e-001
   53 -3.470000e+000 3.316503e+000 9.999990e-003 -1.643066e-002 -1.330061e-001 -8.215329e-003 9.460698e-001
   54 -3.460000e+000 3.325962e+000 9.999990e-003 -2.441101e-002 1.623242e-001 -1.220551e-002 9.458656e-001
   55 -3.450000e+000 3.335420e+000 1.000023e-002 -1.467157e-002 -2.646192e-002 -7.335785e-003 9.456701e-001
   56 -3.440000e+000 3.344876e+000 9.999752e-003 -1.625932e-002 -9.545200e-002 -8.129661e-003 9.455155e-001
   57 -3.430000e+000 3.354330e+000 9.999990e-003 -2.198630e-002 -2.960295e-002 -1.099315e-002 9.453242e-001
   58 -3.420000e+000 3.363782e+000 9.999990e-003 -2.376248e-002 -3.754587e-002 -1.188124e-002 9.450955e-001
   59 -3.410000e+000 3.373232e+000 1.000023e-002 -2.601523e-002 1.929846e-001 -1.300761e-002 9.448466e-001
   60 -3.400000e+000 3.382679e+000 9.999990e-003 -1.443589e-002 -2.839291e-001 -7.217943e-003 9.446443e-001
   61 -3.390000e+000 3.392125e+000 9.999990e-003 -3.147162e-002 2.406237e-001 -1.573581e-002 9.444148e-001
   62 -3.380000e+000 3.401568e+000 9.999752e-003 -1.703421e-002 -2.150936e-001 -8.517104e-003 9.441723e-001
   63 -3.370000e+000 3.411008e+000 9.999990e-003 -2.993950e-002 -6.886122e-002 -1.496975e-002 9.439374e-001
   64 -3.360000e+000 3.420446e+000 1.000023e-002 -3.407117e-002 2.523150e-001 -1.703559e-002 9.436174e-001
   65 -3.350000e+000 3.429881e+000 9.999990e-003 -1.893193e-002 -2.521259e-001 -9.465964e-003 9.433523e-001
   66 -3.340000e+000 3.439313e+000 9.999990e-003 -3.405946e-002 5.437346e-002 -1.702973e-002 9.430874e-001
   67 -3.330000e+000 3.448742e+000 9.999990e-003 -3.079706e-002 3.463235e-002 -1.539853e-002 9.427631e-001
   68 -3.320000e+000 3.458169e+000 9.999990e-003 -2.871912e-002 -1.929031e-001 -1.435956e-002 9.424655e-001
   69 -3.310000e+000 3.467592e+000 9.999990e-003 -4.029330e-002 2.601415e-001 -2.014665e-002 9.421205e-001
   70 -3.300000e+000 3.477011e+000 9.999990e-003 -2.468482e-002 -3.708243e-001 -1.234241e-002 9.417956e-001
   71 -3.290000e+000 3.486427e+000 9.999990e-003 -4.693426e-002 2.694786e-001 -2.346713e-002 9.414375e-001
   72 -3.280000e+000 3.495840e+000 9.999990e-003 -3.076556e-002 -2.302517e-001 -1.538278e-002 9.410490e-001
   73 -3.270000e+000 3.505248e+000 9.999990e-003 -4.458065e-002 1.746898e-001 -2.229032e-002 9.406723e-001
   74 -3.260000e+000 3.514653e+000 9.999990e-003 -3.409927e-002 -2.300881e-001 -1.704963e-002 9.402789e-001
   75 -3.250000e+000 3.524054e+000 9.999990e-003 -4.790454e-002 3.040504e-002 -2.395227e-002 9.398689e-001
   76 -3.240000e+000 3.533450e+000 9.999990e-003 -4.608024e-002 1.084678e-001 -2.304012e-002 9.393989e-001
   77 -3.230000e+000 3.542842e+000 9.999990e-003 -3.957218e-002 -2.258573e-001 -1.978609e-002 9.389706e-001
