Derivatives of cos(x) at 0.100000 using extrapolated difference method

 i  h              derivative      e               epsilon 
 1  5.000000e-001  -9.963150e-002
 2  2.500000e-001  -9.982047e-002  -1.889765e-004  1.896755e-003
 3  1.250000e-001  -9.983246e-002  -1.198798e-005  1.200954e-004
 4  6.249999e-002  -9.983342e-002  -9.611249e-007  9.627379e-006
 5  3.124999e-002  -9.983367e-002  -2.533197e-007  2.537424e-006
 6  1.562499e-002  -9.983385e-002  -1.788139e-007  1.791118e-006
 7  7.812493e-003  -9.983581e-002  -1.952052e-006  1.955301e-005
 8  3.906243e-003  -9.983336e-002  2.443790e-006  -2.447810e-005
 9  1.953118e-003  -9.981575e-002  1.761317e-005  -1.764257e-004
10  9.765550e-004  -9.981868e-002  -2.928078e-006  2.933483e-005
11  4.882738e-004  -9.990590e-002  -8.722395e-005  8.738239e-004
12  2.441332e-004  -9.977518e-002  1.307204e-004  -1.308436e-003
13  1.220629e-004  -9.994099e-002  -1.658127e-004  1.661863e-003
14  6.102771e-005  -9.929597e-002  6.450191e-004  -6.453999e-003
15  3.051013e-005  -9.930810e-002  -1.212209e-005  1.220804e-004
16  1.525134e-005  -1.006351e-001  -1.326978e-003  1.336224e-002
17  7.621944e-006  -1.036168e-001  -2.981737e-003  2.962920e-002
18  3.807247e-006  -9.784736e-002  5.769454e-003  -5.568067e-002
19  1.899898e-006  -8.888889e-002  8.958466e-003  -9.155553e-002
20  9.462237e-007  -1.102362e-001  -2.134733e-002  2.401574e-001
