Derivatives of exp(x) at 0.100000 using extrapolated difference method

 i  h              derivative      e               epsilon 
 1  5.000000e-001  1.102799e+000
 2  2.500000e-001  1.105026e+000  2.226830e-003  2.019253e-003
 3  1.250000e-001  1.105162e+000  1.361370e-004  1.231980e-004
 4  6.249999e-002  1.105170e+000  7.629395e-006  6.903418e-006
 5  3.124999e-002  1.105171e+000  1.311302e-006  1.186517e-006
 6  1.562499e-002  1.105167e+000  -4.172325e-006  -3.775276e-006
 7  7.812493e-003  1.105179e+000  1.192093e-005  1.078654e-005
 8  3.906243e-003  1.105173e+000  -5.245209e-006  -4.746028e-006
 9  1.953118e-003  1.105158e+000  -1.573563e-005  -1.423815e-005
10  9.765550e-004  1.105192e+000  3.468990e-005  3.138910e-005
11  4.882738e-004  1.105099e+000  -9.322166e-005  -8.434882e-005
12  2.441332e-004  1.105014e+000  -8.487701e-005  -7.680489e-005
13  1.220629e-004  1.105129e+000  1.150370e-004  1.041045e-004
14  6.102771e-005  1.104627e+000  -5.022287e-004  -4.544525e-004
15  3.051013e-005  1.103134e+000  -1.493096e-003  -1.351675e-003
16  1.525134e-005  1.106660e+000  3.526211e-003  3.196539e-003
17  7.621944e-006  1.100033e+000  -6.627560e-003  -5.988794e-003
18  3.807247e-006  1.114155e+000  1.412272e-002  1.283846e-002
19  1.899898e-006  1.098039e+000  -1.611602e-002  -1.446479e-002
20  9.462237e-007  1.049869e+000  -4.817045e-002  -4.386951e-002
