Integrals of exp(-x) within [0.000000e+000,1.000000e+000] using midpoint rule

 i        N  integral       e               epsilon 
 1        2  9.872050e-001
 2        4  8.063943e-001  -1.808107e-001  -1.831541e-001
 3        8  7.184358e-001  -8.795851e-002  -1.090763e-001
 4       16  6.750726e-001  -4.336327e-002  -6.035789e-002
 5       32  6.535451e-001  -2.152741e-002  -3.188903e-002
 6       64  6.428201e-001  -1.072502e-002  -1.641053e-002
 7      128  6.374670e-001  -5.353093e-003  -8.327513e-003
 8      256  6.347933e-001  -2.673686e-003  -4.194234e-003
 9      512  6.334565e-001  -1.336813e-003  -2.105903e-003
10     1024  6.327885e-001  -6.679893e-004  -1.054515e-003
11     2048  6.324547e-001  -3.338456e-004  -5.275785e-004
12     4096  6.322876e-001  -1.670718e-004  -2.641641e-004
13     8192  6.322047e-001  -8.296967e-005  -1.312214e-004
14    16384  6.321626e-001  -4.202127e-005  -6.646784e-005
15    32768  6.321421e-001  -2.056360e-005  -3.252898e-005
16    65536  6.321313e-001  -1.078844e-005  -1.706648e-005
17   131072  6.321241e-001  -7.212162e-006  -1.140928e-005
18   262144  6.321832e-001  5.912781e-005  9.353829e-005
19   524288  6.321560e-001  -2.723932e-005  -4.308770e-005
20  1048576  6.320524e-001  -1.035929e-004  -1.638723e-004
