Integrals of exp(-x) within [0.000000e+000,1.000000e+000] using trapezoid rule

 i        N  integral       e               epsilon 
 1        2  6.452352e-001
 2        4  6.354094e-001  -9.825766e-003  -1.522819e-002
 3        8  6.329433e-001  -2.466083e-003  -3.881092e-003
 4       16  6.323263e-001  -6.170273e-004  -9.748539e-004
 5       32  6.321720e-001  -1.542568e-004  -2.439513e-004
 6       64  6.321335e-001  -3.850460e-005  -6.090842e-005
 7      128  6.321238e-001  -9.775162e-006  -1.546376e-005
 8      256  6.321217e-001  -2.086163e-006  -3.300244e-006
 9      512  6.321207e-001  -9.536743e-007  -1.508688e-006
10     1024  6.321206e-001  -1.192093e-007  -1.885863e-007
11     2048  6.321207e-001  1.192093e-007  1.885863e-007
12     4096  6.321207e-001  -5.960464e-008  -9.429314e-008
13     8192  6.321211e-001  4.768372e-007  7.543451e-007
14    16384  6.321209e-001  -2.384186e-007  -3.771723e-007
15    32768  6.321212e-001  2.980232e-007  4.714655e-007
16    65536  6.321208e-001  -3.576279e-007  -5.657584e-007
17   131072  6.321188e-001  -2.026558e-006  -3.205966e-006
18   262144  6.321806e-001  6.175041e-005  9.768798e-005
19   524288  6.321546e-001  -2.592802e-005  -4.101363e-005
20  1048576  6.320517e-001  -1.029372e-004  -1.628355e-004
