Solution to 5exp(-x)+x-5=0 using binary search

x_1 = 4.000000e+000, x_2 = 6.000000e+000, accuracy = 1.000000e-006

      x        5exp(-x)+x-5      
4.000000e+000 -9.084218e-001
6.000000e+000 1.012394e+000
5.000000e+000 3.368973e-002
4.500000e+000 -4.444550e-001
4.750000e+000 -2.067415e-001
4.875000e+000 -8.682453e-002
4.937500e+000 -2.663746e-002
4.968750e+000 3.509162e-003
4.953125e+000 -1.156846e-002
4.960938e+000 -4.030718e-003
4.964844e+000 -2.610445e-004
4.966797e+000 1.623992e-003
4.965820e+000 6.814573e-004
4.965332e+000 2.102022e-004
4.965088e+000 -2.542218e-005
4.965210e+000 9.238977e-005
4.965149e+000 3.348373e-005
4.965118e+000 4.030760e-006
4.965103e+000 -1.069571e-005
4.965111e+000 -3.332477e-006
4.965115e+000 3.491413e-007
4.965113e+000 -1.491668e-006
4.965114e+000 -5.712634e-007

x = 4.965114e+000
