Gradient descent of (x-2)^2+(y-2)^2

gamma = 1.000000e-002, epsilon = 1.000000e-007

      x            y          f(x,y)     
0.000000e+000 1.000000e+000 5.000000e+000
3.999995e-002 1.020000e+000 4.802000e+000
7.919999e-002 1.039600e+000 4.611841e+000
1.176160e-001 1.058808e+000 4.429212e+000
1.552637e-001 1.077632e+000 4.253815e+000
1.921585e-001 1.096079e+000 4.085364e+000
2.283153e-001 1.114157e+000 3.923584e+000
2.637489e-001 1.131874e+000 3.768210e+000
2.984740e-001 1.149237e+000 3.618989e+000
3.325045e-001 1.166252e+000 3.475677e+000
3.658544e-001 1.182927e+000 3.338040e+000
3.985374e-001 1.199268e+000 3.205854e+000
4.305666e-001 1.215283e+000 3.078902e+000
4.619553e-001 1.230977e+000 2.956978e+000
4.927162e-001 1.246358e+000 2.839881e+000
5.228618e-001 1.261430e+000 2.727422e+000
5.524046e-001 1.276202e+000 2.619416e+000
5.813565e-001 1.290678e+000 2.515687e+000
6.097293e-001 1.304864e+000 2.416066e+000
6.375348e-001 1.318767e+000 2.320390e+000
6.647841e-001 1.332392e+000 2.228503e+000
6.914884e-001 1.345744e+000 2.140254e+000
7.176586e-001 1.358829e+000 2.055500e+000
7.433054e-001 1.371652e+000 1.974102e+000
7.684392e-001 1.384219e+000 1.895928e+000
7.930704e-001 1.396535e+000 1.820849e+000
8.172090e-001 1.408604e+000 1.748744e+000
8.408648e-001 1.420432e+000 1.679493e+000
8.640475e-001 1.432023e+000 1.612986e+000
8.867665e-001 1.443383e+000 1.549111e+000
9.090312e-001 1.454515e+000 1.487767e+000
9.308505e-001 1.465425e+000 1.428851e+000
9.522335e-001 1.476117e+000 1.372269e+000
9.731888e-001 1.486594e+000 1.317927e+000
9.937250e-001 1.496862e+000 1.265737e+000
1.013850e+000 1.506925e+000 1.215614e+000
1.033573e+000 1.516786e+000 1.167476e+000
1.052902e+000 1.526451e+000 1.121244e+000
1.071844e+000 1.535922e+000 1.076843e+000
1.090407e+000 1.545203e+000 1.034199e+000
1.108599e+000 1.554299e+000 9.932453e-001
1.126427e+000 1.563213e+000 9.539129e-001
1.143898e+000 1.571949e+000 9.161380e-001
1.161020e+000 1.580510e+000 8.798589e-001
1.177800e+000 1.588900e+000 8.450165e-001
1.194244e+000 1.597122e+000 8.115540e-001
1.210359e+000 1.605179e+000 7.794165e-001
1.226152e+000 1.613076e+000 7.485515e-001
1.241629e+000 1.620814e+000 7.189090e-001
