Gradient descent of Schechter

gamma = 1.000000e-004, epsilon = 2.000000e-007

   log(phi*)      log(M*)       alpha        chi^2     
-3.000000e+000 1.050000e+001 -1.000000e+000 3.801333e+002
-2.955843e+000 1.052511e+001 -1.018613e+000 3.493139e+002
-2.907405e+000 1.055322e+001 -1.039668e+000 3.116739e+002
-2.854583e+000 1.058479e+001 -1.063262e+000 2.663086e+002
-2.798055e+000 1.062016e+001 -1.088956e+000 2.139342e+002
-2.740267e+000 1.065910e+001 -1.114993e+000 1.594273e+002
-2.686944e+000 1.070005e+001 -1.136998e+000 1.136383e+002
-2.647091e+000 1.073964e+001 -1.147680e+000 8.589830e+001
-2.626166e+000 1.077487e+001 -1.142305e+000 7.027914e+001
-2.617109e+000 1.080692e+001 -1.126825e+000 5.688726e+001
-2.610569e+000 1.083812e+001 -1.109611e+000 4.393140e+001
-2.604342e+000 1.086849e+001 -1.093062e+000 3.192297e+001
-2.598590e+000 1.089708e+001 -1.077670e+000 2.157541e+001
-2.593679e+000 1.092266e+001 -1.063879e+000 1.356284e+001
-2.589913e+000 1.094393e+001 -1.052158e+000 8.195740e+000
-2.587388e+000 1.096006e+001 -1.042864e+000 5.185737e+000
-2.585908e+000 1.097109e+001 -1.036062e+000 3.789341e+000
-2.585093e+000 1.097791e+001 -1.031460e+000 3.243683e+000
-2.584599e+000 1.098179e+001 -1.028526e+000 3.056000e+000
-2.584224e+000 1.098385e+001 -1.026702e+000 2.995705e+000
-2.583886e+000 1.098487e+001 -1.025552e+000 2.976075e+000
-2.583559e+000 1.098532e+001 -1.024787e+000 2.968661e+000
-2.583238e+000 1.098546e+001 -1.024236e+000 2.964840e+000
-2.582922e+000 1.098544e+001 -1.023804e+000 2.962108e+000
-2.582610e+000 1.098534e+001 -1.023437e+000 2.959746e+000
-2.582305e+000 1.098520e+001 -1.023108e+000 2.957556e+000
-2.582005e+000 1.098503e+001 -1.022801e+000 2.955479e+000
-2.581712e+000 1.098486e+001 -1.022509e+000 2.953494e+000
-2.581425e+000 1.098468e+001 -1.022228e+000 2.951591e+000
-2.581144e+000 1.098451e+001 -1.021955e+000 2.949770e+000
-2.580869e+000 1.098434e+001 -1.021689e+000 2.948025e+000
-2.580600e+000 1.098417e+001 -1.021429e+000 2.946351e+000
-2.580336e+000 1.098400e+001 -1.021175e+000 2.944750e+000
-2.580078e+000 1.098384e+001 -1.020926e+000 2.943213e+000
-2.579826e+000 1.098368e+001 -1.020682e+000 2.941742e+000
-2.579579e+000 1.098352e+001 -1.020444e+000 2.940330e+000
-2.579337e+000 1.098336e+001 -1.020211e+000 2.938979e+000
-2.579100e+000 1.098321e+001 -1.019982e+000 2.937683e+000
-2.578868e+000 1.098306e+001 -1.019759e+000 2.936442e+000
-2.578642e+000 1.098292e+001 -1.019540e+000 2.935253e+000
-2.578420e+000 1.098278e+001 -1.019325e+000 2.934114e+000
-2.578203e+000 1.098264e+001 -1.019116e+000 2.933023e+000
-2.577990e+000 1.098250e+001 -1.018910e+000 2.931978e+000
-2.577782e+000 1.098237e+001 -1.018709e+000 2.930976e+000
-2.577579e+000 1.098224e+001 -1.018512e+000 2.930016e+000
-2.577379e+000 1.098211e+001 -1.018320e+000 2.929095e+000
-2.577185e+000 1.098199e+001 -1.018131e+000 2.928214e+000
-2.576994e+000 1.098187e+001 -1.017946e+000 2.927368e+000
-2.576807e+000 1.098175e+001 -1.017765e+000 2.926560e+000
-2.576624e+000 1.098163e+001 -1.017588e+000 2.925784e+000
-2.576445e+000 1.098152e+001 -1.017415e+000 2.925040e+000
-2.576270e+000 1.098141e+001 -1.017245e+000 2.924329e+000
-2.576099e+000 1.098130e+001 -1.017079e+000 2.923648e+000
-2.575931e+000 1.098119e+001 -1.016916e+000 2.922993e+000
-2.575767e+000 1.098108e+001 -1.016757e+000 2.922367e+000
-2.575606e+000 1.098098e+001 -1.016601e+000 2.921767e+000
-2.575449e+000 1.098088e+001 -1.016449e+000 2.921193e+000
-2.575295e+000 1.098078e+001 -1.016299e+000 2.920642e+000
-2.575145e+000 1.098068e+001 -1.016153e+000 2.920115e+000
-2.574997e+000 1.098059e+001 -1.016010e+000 2.919610e+000
-2.574853e+000 1.098050e+001 -1.015870e+000 2.919124e+000
-2.574712e+000 1.098041e+001 -1.015733e+000 2.918661e+000
-2.574574e+000 1.098032e+001 -1.015599e+000 2.918216e+000
-2.574438e+000 1.098023e+001 -1.015467e+000 2.917790e+000
-2.574306e+000 1.098015e+001 -1.015339e+000 2.917382e+000
-2.574176e+000 1.098006e+001 -1.015213e+000 2.916990e+000
-2.574049e+000 1.097998e+001 -1.015089e+000 2.916616e+000
-2.573925e+000 1.097990e+001 -1.014969e+000 2.916257e+000
-2.573804e+000 1.097982e+001 -1.014850e+000 2.915912e+000
-2.573685e+000 1.097975e+001 -1.014735e+000 2.915583e+000
-2.573569e+000 1.097967e+001 -1.014621e+000 2.915267e+000
-2.573455e+000 1.097960e+001 -1.014511e+000 2.914964e+000
-2.573343e+000 1.097953e+001 -1.014402e+000 2.914675e+000
-2.573234e+000 1.097946e+001 -1.014296e+000 2.914396e+000
-2.573127e+000 1.097939e+001 -1.014192e+000 2.914133e+000
-2.573023e+000 1.097932e+001 -1.014090e+000 2.913876e+000
-2.572921e+000 1.097926e+001 -1.013990e+000 2.913632e+000
-2.572821e+000 1.097919e+001 -1.013893e+000 2.913399e+000
-2.572722e+000 1.097913e+001 -1.013797e+000 2.913175e+000
-2.572627e+000 1.097907e+001 -1.013704e+000 2.912961e+000
-2.572533e+000 1.097901e+001 -1.013612e+000 2.912754e+000
-2.572441e+000 1.097895e+001 -1.013523e+000 2.912556e+000
-2.572351e+000 1.097889e+001 -1.013435e+000 2.912368e+000
-2.572263e+000 1.097884e+001 -1.013349e+000 2.912188e+000
-2.572177e+000 1.097878e+001 -1.013265e+000 2.912015e+000
-2.572093e+000 1.097873e+001 -1.013183e+000 2.911849e+000
-2.572010e+000 1.097867e+001 -1.013103e+000 2.911689e+000
-2.571930e+000 1.097862e+001 -1.013024e+000 2.911538e+000
-2.571851e+000 1.097857e+001 -1.012947e+000 2.911392e+000
-2.571774e+000 1.097852e+001 -1.012872e+000 2.911251e+000
-2.571698e+000 1.097847e+001 -1.012798e+000 2.911117e+000
-2.571624e+000 1.097842e+001 -1.012726e+000 2.910990e+000
-2.571552e+000 1.097838e+001 -1.012655e+000 2.910868e+000
-2.571481e+000 1.097833e+001 -1.012586e+000 2.910749e+000
-2.571411e+000 1.097829e+001 -1.012518e+000 2.910637e+000
-2.571343e+000 1.097824e+001 -1.012451e+000 2.910530e+000
-2.571277e+000 1.097820e+001 -1.012387e+000 2.910424e+000
-2.571212e+000 1.097816e+001 -1.012323e+000 2.910326e+000
-2.571148e+000 1.097812e+001 -1.012261e+000 2.910232e+000
-2.571085e+000 1.097808e+001 -1.012200e+000 2.910141e+000
-2.571024e+000 1.097804e+001 -1.012140e+000 2.910052e+000
-2.570965e+000 1.097800e+001 -1.012082e+000 2.909969e+000
-2.570906e+000 1.097796e+001 -1.012025e+000 2.909890e+000
-2.570849e+000 1.097792e+001 -1.011969e+000 2.909812e+000
-2.570793e+000 1.097789e+001 -1.011914e+000 2.909738e+000
-2.570738e+000 1.097785e+001 -1.011860e+000 2.909667e+000
-2.570684e+000 1.097782e+001 -1.011808e+000 2.909600e+000
-2.570632e+000 1.097778e+001 -1.011756e+000 2.909537e+000
-2.570580e+000 1.097775e+001 -1.011706e+000 2.909474e+000
-2.570530e+000 1.097772e+001 -1.011657e+000 2.909415e+000
-2.570481e+000 1.097769e+001 -1.011609e+000 2.909359e+000
-2.570433e+000 1.097766e+001 -1.011562e+000 2.909303e+000
-2.570385e+000 1.097763e+001 -1.011516e+000 2.909252e+000
-2.570339e+000 1.097760e+001 -1.011470e+000 2.909202e+000
-2.570294e+000 1.097757e+001 -1.011426e+000 2.909155e+000
-2.570250e+000 1.097754e+001 -1.011383e+000 2.909107e+000
-2.570206e+000 1.097751e+001 -1.011340e+000 2.909064e+000
-2.570164e+000 1.097748e+001 -1.011299e+000 2.909022e+000
-2.570122e+000 1.097746e+001 -1.011258e+000 2.908982e+000
-2.570082e+000 1.097743e+001 -1.011219e+000 2.908942e+000
-2.570042e+000 1.097740e+001 -1.011180e+000 2.908906e+000
-2.570003e+000 1.097738e+001 -1.011142e+000 2.908871e+000
-2.569965e+000 1.097736e+001 -1.011104e+000 2.908838e+000
-2.569928e+000 1.097733e+001 -1.011068e+000 2.908805e+000
-2.569891e+000 1.097731e+001 -1.011032e+000 2.908772e+000
-2.569856e+000 1.097728e+001 -1.010997e+000 2.908743e+000
-2.569821e+000 1.097726e+001 -1.010963e+000 2.908714e+000
-2.569787e+000 1.097724e+001 -1.010929e+000 2.908687e+000
-2.569753e+000 1.097722e+001 -1.010897e+000 2.908660e+000
-2.569720e+000 1.097720e+001 -1.010864e+000 2.908637e+000
-2.569688e+000 1.097718e+001 -1.010833e+000 2.908611e+000
-2.569656e+000 1.097716e+001 -1.010802e+000 2.908588e+000
-2.569626e+000 1.097714e+001 -1.010772e+000 2.908567e+000
-2.569596e+000 1.097712e+001 -1.010743e+000 2.908545e+000
-2.569566e+000 1.097710e+001 -1.010714e+000 2.908524e+000
-2.569537e+000 1.097708e+001 -1.010686e+000 2.908505e+000
-2.569509e+000 1.097706e+001 -1.010658e+000 2.908487e+000
-2.569482e+000 1.097704e+001 -1.010631e+000 2.908469e+000
-2.569455e+000 1.097703e+001 -1.010605e+000 2.908453e+000
-2.569428e+000 1.097701e+001 -1.010579e+000 2.908436e+000
-2.569403e+000 1.097699e+001 -1.010554e+000 2.908419e+000
-2.569377e+000 1.097698e+001 -1.010529e+000 2.908406e+000
-2.569352e+000 1.097696e+001 -1.010504e+000 2.908391e+000
-2.569328e+000 1.097694e+001 -1.010481e+000 2.908378e+000
-2.569304e+000 1.097693e+001 -1.010457e+000 2.908365e+000
-2.569281e+000 1.097691e+001 -1.010435e+000 2.908351e+000
-2.569258e+000 1.097690e+001 -1.010412e+000 2.908339e+000
-2.569236e+000 1.097688e+001 -1.010391e+000 2.908329e+000
-2.569215e+000 1.097687e+001 -1.010369e+000 2.908317e+000
-2.569193e+000 1.097686e+001 -1.010348e+000 2.908305e+000
-2.569172e+000 1.097684e+001 -1.010328e+000 2.908297e+000
-2.569152e+000 1.097683e+001 -1.010308e+000 2.908285e+000
-2.569132e+000 1.097682e+001 -1.010289e+000 2.908276e+000
-2.569113e+000 1.097680e+001 -1.010269e+000 2.908268e+000
-2.569093e+000 1.097679e+001 -1.010251e+000 2.908259e+000
-2.569075e+000 1.097678e+001 -1.010232e+000 2.908252e+000
-2.569056e+000 1.097677e+001 -1.010214e+000 2.908243e+000
-2.569038e+000 1.097676e+001 -1.010197e+000 2.908235e+000
-2.569021e+000 1.097675e+001 -1.010180e+000 2.908229e+000
-2.569004e+000 1.097673e+001 -1.010163e+000 2.908222e+000
-2.568987e+000 1.097672e+001 -1.010146e+000 2.908215e+000
-2.568970e+000 1.097671e+001 -1.010130e+000 2.908209e+000
-2.568954e+000 1.097670e+001 -1.010114e+000 2.908203e+000
-2.568938e+000 1.097669e+001 -1.010099e+000 2.908197e+000
-2.568923e+000 1.097668e+001 -1.010084e+000 2.908191e+000
-2.568908e+000 1.097667e+001 -1.010069e+000 2.908185e+000
-2.568893e+000 1.097666e+001 -1.010054e+000 2.908180e+000
-2.568879e+000 1.097665e+001 -1.010040e+000 2.908175e+000
-2.568865e+000 1.097664e+001 -1.010026e+000 2.908170e+000
-2.568851e+000 1.097664e+001 -1.010013e+000 2.908166e+000
-2.568837e+000 1.097663e+001 -1.009999e+000 2.908162e+000
-2.568824e+000 1.097662e+001 -1.009986e+000 2.908157e+000
-2.568811e+000 1.097661e+001 -1.009974e+000 2.908154e+000
-2.568798e+000 1.097660e+001 -1.009961e+000 2.908151e+000
-2.568786e+000 1.097659e+001 -1.009949e+000 2.908147e+000
-2.568774e+000 1.097659e+001 -1.009937e+000 2.908144e+000
-2.568762e+000 1.097658e+001 -1.009925e+000 2.908140e+000
-2.568750e+000 1.097657e+001 -1.009914e+000 2.908137e+000
-2.568739e+000 1.097656e+001 -1.009903e+000 2.908134e+000
-2.568727e+000 1.097656e+001 -1.009892e+000 2.908131e+000
-2.568717e+000 1.097655e+001 -1.009881e+000 2.908129e+000
-2.568706e+000 1.097654e+001 -1.009871e+000 2.908125e+000
-2.568695e+000 1.097654e+001 -1.009860e+000 2.908123e+000
-2.568685e+000 1.097653e+001 -1.009850e+000 2.908119e+000
-2.568675e+000 1.097652e+001 -1.009840e+000 2.908118e+000
-2.568665e+000 1.097652e+001 -1.009831e+000 2.908116e+000
-2.568655e+000 1.097651e+001 -1.009821e+000 2.908114e+000
-2.568646e+000 1.097650e+001 -1.009812e+000 2.908112e+000
-2.568637e+000 1.097650e+001 -1.009803e+000 2.908109e+000
-2.568628e+000 1.097649e+001 -1.009794e+000 2.908108e+000
-2.568619e+000 1.097649e+001 -1.009786e+000 2.908106e+000
-2.568610e+000 1.097648e+001 -1.009777e+000 2.908104e+000
-2.568602e+000 1.097647e+001 -1.009769e+000 2.908103e+000
-2.568594e+000 1.097647e+001 -1.009761e+000 2.908101e+000
-2.568585e+000 1.097646e+001 -1.009753e+000 2.908099e+000
-2.568577e+000 1.097646e+001 -1.009745e+000 2.908098e+000
-2.568570e+000 1.097645e+001 -1.009737e+000 2.908096e+000
-2.568562e+000 1.097645e+001 -1.009730e+000 2.908095e+000
-2.568555e+000 1.097645e+001 -1.009722e+000 2.908094e+000
-2.568547e+000 1.097644e+001 -1.009715e+000 2.908093e+000
-2.568540e+000 1.097644e+001 -1.009708e+000 2.908092e+000
-2.568533e+000 1.097643e+001 -1.009701e+000 2.908091e+000
-2.568527e+000 1.097643e+001 -1.009695e+000 2.908089e+000
-2.568520e+000 1.097642e+001 -1.009688e+000 2.908088e+000
-2.568513e+000 1.097642e+001 -1.009682e+000 2.908087e+000
-2.568507e+000 1.097641e+001 -1.009676e+000 2.908085e+000
-2.568501e+000 1.097641e+001 -1.009669e+000 2.908085e+000
-2.568495e+000 1.097641e+001 -1.009663e+000 2.908085e+000
