Solution to x=1-exp(-2x) using overrelaxation method

x_0 = 1.000000e+000

iter     \omega        x        
 14 0.000000e+000 7.968127e-001
 13 1.000000e-002 7.968131e-001
 13 2.000000e-002 7.968130e-001
 13 3.000000e-002 7.968128e-001
 13 4.000000e-002 7.968127e-001
 12 5.000000e-002 7.968133e-001
 12 6.000000e-002 7.968131e-001
 12 7.000000e-002 7.968129e-001
 12 8.000000e-002 7.968128e-001
 11 9.000000e-002 7.968136e-001
 11 9.999999e-002 7.968134e-001
 11 1.100000e-001 7.968131e-001
 11 1.200000e-001 7.968130e-001
 11 1.300000e-001 7.968128e-001
 10 1.400000e-001 7.968138e-001
 10 1.500000e-001 7.968135e-001
 10 1.600000e-001 7.968132e-001
 10 1.700000e-001 7.968131e-001
  9 1.800000e-001 7.968147e-001
  9 1.900000e-001 7.968142e-001
  9 2.000000e-001 7.968139e-001
  8 2.100000e-001 7.968171e-001
  8 2.200000e-001 7.968164e-001
  8 2.300000e-001 7.968156e-001
  7 2.400001e-001 7.968230e-001
  6 2.500001e-001 7.968477e-001
  6 2.600001e-001 7.968425e-001
  7 2.700000e-001 7.968185e-001
  7 2.800000e-001 7.968174e-001
  7 2.900000e-001 7.968165e-001
  7 3.000000e-001 7.968156e-001
  7 3.100000e-001 7.968150e-001
  7 3.200000e-001 7.968145e-001
  7 3.300000e-001 7.968140e-001
  7 3.400000e-001 7.968137e-001
  7 3.500000e-001 7.968132e-001
  7 3.600000e-001 7.968130e-001
  7 3.699999e-001 7.968128e-001
  7 3.799999e-001 7.968127e-001
  7 3.899999e-001 7.968125e-001
  7 3.999999e-001 7.968124e-001
  7 4.099999e-001 7.968123e-001
  7 4.199999e-001 7.968122e-001
  6 4.299999e-001 7.968128e-001
  6 4.399999e-001 7.968127e-001
  6 4.499999e-001 7.968125e-001
  6 4.599999e-001 7.968124e-001
  6 4.699998e-001 7.968123e-001
  6 4.799998e-001 7.968122e-001
  5 4.899998e-001 7.968124e-001
  4 4.999998e-001 7.968124e-001
  5 5.099998e-001 7.968120e-001
  5 5.199998e-001 7.968119e-001
  5 5.299998e-001 7.968118e-001
  6 5.399998e-001 7.968122e-001
  6 5.499998e-001 7.968122e-001
  6 5.599998e-001 7.968121e-001
  6 5.699998e-001 7.968121e-001
  5 5.799997e-001 7.968119e-001
  5 5.899997e-001 7.968119e-001
  5 5.999997e-001 7.968121e-001
  5 6.099997e-001 7.968121e-001
  5 6.199997e-001 7.968121e-001
  5 6.299997e-001 7.968121e-001
  5 6.399997e-001 7.968121e-001
  5 6.499997e-001 7.968121e-001
  5 6.599997e-001 7.968121e-001
  5 6.699997e-001 7.968122e-001
  4 6.799996e-001 7.968122e-001
  4 6.899996e-001 7.968121e-001
  4 6.999996e-001 7.968121e-001
  4 7.099996e-001 7.968121e-001
  3 7.199996e-001 7.968122e-001
  5 7.299996e-001 7.968121e-001
  5 7.399996e-001 7.968122e-001
  5 7.499996e-001 7.968121e-001
  5 7.599996e-001 7.968120e-001
  6 7.699996e-001 7.968121e-001
  6 7.799996e-001 7.968122e-001
  6 7.899995e-001 7.968121e-001
  6 7.999995e-001 7.968121e-001
  6 8.099995e-001 7.968122e-001
  6 8.199995e-001 7.968122e-001
  6 8.299995e-001 7.968122e-001
  7 8.399995e-001 7.968121e-001
  7 8.499995e-001 7.968121e-001
  7 8.599995e-001 7.968121e-001
  7 8.699995e-001 7.968121e-001
  7 8.799995e-001 7.968121e-001
  7 8.899994e-001 7.968121e-001
  7 8.999994e-001 7.968119e-001
  7 9.099994e-001 7.968119e-001
  8 9.199994e-001 7.968122e-001
  8 9.299994e-001 7.968122e-001
  8 9.399994e-001 7.968122e-001
  8 9.499994e-001 7.968123e-001
  8 9.599994e-001 7.968123e-001
  8 9.699994e-001 7.968123e-001
  8 9.799994e-001 7.968124e-001
  9 9.899994e-001 7.968121e-001
  9 9.999993e-001 7.968121e-001
