Discrete Fourier Transform of sunspots

  k         Re(c_k)          Im(c_k)     
    1     14423.342773    -15162.353516
    2     -1008.422302    -16833.980469
    3     -9699.522461     16566.134766
    4    -15003.277344       503.006409
    5     -6534.957520    -14091.724609
    6     -1459.197510     -9156.085938
    7     -6037.054688      4073.176758
    8     -2327.082764      3197.904785
    9      5542.413574      5553.756348
   10     -5065.773438     -1037.861816
   11      1088.059937     -4588.306641
   12     -4018.308105     -7471.763672
   13       969.654907      2435.729980
   14     -3059.854736      4009.655273
   15      3011.587646      1378.562744
   16     -6189.492676      2062.789307
   17     -7555.296875     -2798.688721
   18      1796.648315     -4742.481445
   19      4016.787598      4343.314941
   20      3168.867676      8895.147461
   21     -2069.270020      -694.006958
   22    -21165.226563     11862.951172
   23     -2678.553467    -13962.810547
   24      4729.572754     44629.160156
   25     31964.058594      5050.211914
   26     33693.832031    -11992.755859
   27       544.582214      2042.258057
   28     -1830.988525     12692.293945
   29      2522.724854      1618.100586
   30     -6670.036621      -302.822510
   31    -15159.144531     -7882.031738
   32     -7853.987305     -9757.677734
   33      -136.866394      6011.410156
   34      4712.126465      -202.838562
   35      7324.293945      3143.332031
   36      2382.865234      2892.910156
   37     -3811.167725      3158.879395
   38      -631.939880     -1501.420166
   39       884.976563      3789.424805
   40      -602.968994      -663.548340
   41     -2562.931152       411.263702
   42       479.964050      1720.652954
   43      -445.055115      3413.766113
   44     -3330.964600      -491.613922
   45      5437.749023      -261.515991
   46     -5913.390137      2658.540039
   47       930.362671     -1087.298218
   48     -2110.884521      9863.702148
   49       444.290985      3519.732422
   50      5686.568359     -2686.560547
   51       268.404602     -4596.211426
   52     -1745.859497     -1408.913696
   53      2250.820068       883.789307
   54      5445.602051       737.353271
   55     -1961.178833      2015.714355
   56     -2117.166016      2913.232910
   57     -2676.371094      3477.268311
   58     -1577.414551      1043.001831
   59      -119.848953     -1388.240845
   60      1538.272461     -2056.755371
   61      1447.029053       373.579712
   62      1750.320557      -654.881897
   63      1998.160889      1298.598145
   64      -410.330475      4244.202148
   65       518.867188      -401.098877
   66      -176.727615      3388.803955
   67      -629.426758      1507.825806
   68      -106.087166     -1509.720947
   69       823.200928      -628.944153
   70     -1667.430298      1643.941528
