The Belousov–Zhabotinsky reaction with adapted Bulirsch-Stoer method
dx / dt = 1 - (b + 1) * x + a * x ^ 2 * y
dy / dt = b * x - a * x ^ 2 * y
a = 1, b = 3, x_0 = 0, y_0 = 0, accuracy delta = 1e-10, H = 20

       t            x             y
0.000000e+000 0.000000e+000 0.000000e+000
3.125000e-001 1.793802e-001 1.018670e-001
6.250000e-001 2.318629e-001 2.982556e-001
9.375000e-001 2.494742e-001 5.196187e-001
1.250000e+000 2.574906e-001 7.468529e-001
1.562500e+000 2.629097e-001 9.746557e-001
1.875000e+000 2.677375e-001 1.201461e+000
2.187500e+000 2.725846e-001 1.426730e+000
2.500000e+000 2.776613e-001 1.650208e+000
2.812500e+000 2.830629e-001 1.871712e+000
3.125000e+000 2.888547e-001 2.091063e+000
3.437500e+000 2.950995e-001 2.308064e+000
3.750000e+000 3.018685e-001 2.522492e+000
4.062500e+000 3.092480e-001 2.734082e+000
4.375000e+000 3.173451e-001 2.942517e+000
4.687500e+000 3.262962e-001 3.147415e+000
5.000000e+000 3.362781e-001 3.348302e+000
5.312500e+000 3.475257e-001 3.544584e+000
5.625000e+000 3.603591e-001 3.735494e+000
5.937500e+000 3.752282e-001 3.920016e+000
6.250000e+000 3.927895e-001 4.096753e+000
6.562500e+000 4.140932e-001 4.264036e+000
6.875000e+000 4.407401e-001 4.418456e+000
7.500000e+000 5.238488e-001 4.664684e+000
7.812500e+000 5.982556e-001 4.730315e+000
8.125000e+000 7.305920e-001 4.706127e+000
8.281250e+000 8.473547e-001 4.623331e+000
8.359375e+000 9.315336e-001 4.548035e+000
8.437500e+000 1.043764e+000 4.437005e+000
8.476563e+000 1.115067e+000 4.362605e+000
8.515625e+000 1.199959e+000 4.271543e+000
8.554688e+000 1.302136e+000 4.159516e+000
8.593750e+000 1.426134e+000 4.021249e+000
8.632813e+000 1.578226e+000 3.849469e+000
8.652344e+000 1.667247e+000 3.748167e+000
8.671875e+000 1.766132e+000 3.635148e+000
8.691406e+000 1.875607e+000 3.509516e+000
8.710938e+000 1.996675e+000 3.370020e+000
8.730469e+000 2.129858e+000 3.215905e+000
8.750000e+000 2.275155e+000 3.046932e+000
8.769531e+000 2.431760e+000 2.863673e+000
8.779297e+000 2.513924e+000 2.766970e+000
8.789063e+000 2.598099e+000 2.667434e+000
8.798828e+000 2.683826e+000 2.565507e+000
8.808594e+000 2.770552e+000 2.461730e+000
8.818359e+000 2.857634e+000 2.356737e+000
8.828125e+000 2.944353e+000 2.251250e+000
8.837891e+000 3.029926e+000 2.146056e+000
8.847656e+000 3.113535e+000 2.041992e+000
8.867188e+000 3.271276e+000 1.841024e+000
8.886719e+000 3.411841e+000 1.654285e+000
8.906250e+000 3.530507e+000 1.486884e+000
8.945313e+000 3.693527e+000 1.220591e+000
8.984375e+000 3.762631e+000 1.043471e+000
9.062500e+000 3.708088e+000 8.807070e-001
9.140625e+000 3.533418e+000 8.483864e-001
9.218750e+000 3.323675e+000 8.666134e-001
9.296875e+000 3.109975e+000 9.055984e-001
9.375000e+000 2.902878e+000 9.546019e-001
9.453125e+000 2.705785e+000 1.009542e+000
9.531250e+000 2.519548e+000 1.068735e+000
9.609375e+000 2.344076e+000 1.131416e+000
9.687500e+000 2.178936e+000 1.197186e+000
9.765625e+000 2.023283e+000 1.265933e+000
9.843750e+000 1.876916e+000 1.337317e+000
9.921875e+000 1.739332e+000 1.411129e+000
1.000000e+001 1.610091e+000 1.487132e+000
1.007813e+001 1.488825e+000 1.565053e+000
1.015625e+001 1.375234e+000 1.644569e+000
1.031250e+001 1.170595e+000 1.806564e+000
1.046875e+001 9.943915e-001 1.970129e+000
1.062500e+001 8.456972e-001 2.131782e+000
1.078125e+001 7.233472e-001 2.288437e+000
1.093750e+001 6.253235e-001 2.438211e+000
1.109375e+001 5.492482e-001 2.579749e+000
1.125000e+001 4.918888e-001 2.713065e+000
1.156250e+001 4.199283e-001 2.957837e+000
1.187500e+001 3.854376e-001 3.181390e+000
1.218750e+001 3.722675e-001 3.390814e+000
1.250000e+001 3.711867e-001 3.590224e+000
1.281250e+001 3.774736e-001 3.781362e+000
1.312500e+001 3.889981e-001 3.964421e+000
1.343750e+001 4.051779e-001 4.138843e+000
1.375000e+001 4.264383e-001 4.302295e+000
1.437500e+001 4.918889e-001 4.579963e+000
1.500000e+001 6.326535e-001 4.722122e+000
1.515625e+001 7.002836e-001 4.707642e+000
1.531250e+001 7.991736e-001 4.648833e+000
1.539063e+001 8.684588e-001 4.592826e+000
1.546875e+001 9.584102e-001 4.509877e+000
1.554688e+001 1.079300e+000 4.387752e+000
1.558594e+001 1.156590e+000 4.305848e+000
1.562500e+001 1.249016e+000 4.205470e+000
1.566406e+001 1.360467e+000 4.082080e+000
1.570313e+001 1.496411e+000 3.929341e+000
1.572266e+001 1.575743e+000 3.839437e+000
1.574219e+001 1.663785e+000 3.739173e+000
1.576172e+001 1.761496e+000 3.627408e+000
1.578125e+001 1.869804e+000 3.503012e+000
1.580078e+001 1.989252e+000 3.365266e+000
1.582031e+001 2.120552e+000 3.213198e+000
1.583984e+001 2.263713e+000 3.046565e+000
1.585938e+001 2.417969e+000 2.865904e+000
1.586914e+001 2.498902e+000 2.770574e+000
1.587891e+001 2.581830e+000 2.672439e+000
1.588867e+001 2.666316e+000 2.571920e+000
1.589844e+001 2.751829e+000 2.469534e+000
1.590820e+001 2.837754e+000 2.365890e+000
1.591797e+001 2.923397e+000 2.261680e+000
1.592773e+001 3.008004e+000 2.157665e+000
1.593750e+001 3.090784e+000 2.054650e+000
1.595703e+001 3.247362e+000 1.855307e+000
1.597656e+001 3.387504e+000 1.669467e+000
1.599609e+001 3.506487e+000 1.502226e+000
1.601563e+001 3.601673e+000 1.356568e+000
1.609375e+001 3.751813e+000 9.932372e-001
1.617188e+001 3.659783e+000 8.705516e-001
1.625000e+001 3.474250e+000 8.534316e-001
1.632813e+001 3.263385e+000 8.775242e-001
1.640625e+001 3.051717e+000 9.191590e-001
1.648438e+001 2.847594e+000 9.696661e-001
1.656250e+001 2.653669e+000 1.025671e+000
1.664063e+001 2.470535e+000 1.085746e+000
1.671875e+001 2.298015e+000 1.149222e+000
1.679688e+001 2.135334e+000 1.215872e+000
1.687500e+001 1.982314e+000 1.285323e+000
1.695313e+001 1.838426e+000 1.357366e+000
1.703125e+001 1.703185e+000 1.431781e+000
1.710938e+001 1.576174e+000 1.508322e+000
1.718750e+001 1.457044e+000 1.586699e+000
1.726563e+001 1.345517e+000 1.666580e+000
1.734375e+001 1.241380e+000 1.747588e+000
1.750000e+001 1.055001e+000 1.910975e+000
1.765625e+001 8.964596e-001 2.073702e+000
1.781250e+001 7.647411e-001 2.232468e+000
1.796875e+001 6.582828e-001 2.384723e+000
1.812500e+001 5.745788e-001 2.529301e+000
1.828125e+001 5.108086e-001 2.665550e+000
1.843750e+001 4.635732e-001 2.793986e+000
1.875000e+001 4.058040e-001 3.031064e+000
1.906250e+001 3.794878e-001 3.249484e+000
1.937500e+001 3.709103e-001 3.455399e+000
1.968750e+001 3.725368e-001 3.652069e+000
2.000000e+001 3.806379e-001 3.840666e+000
