The Belousov–Zhabotinsky reaction with modified midpoint method
dx / dt = 1 - (b + 1) * x + a * x ^ 2 * y
dy / dt = b * x - a * x ^ 2 * y
a = 1, b = 3, x_0 = 0, y_0 = 0, accuracy delta = 1e-10, H = 20

       t            x             y
0.000000e+000 0.000000e+000 0.000000e+000
1.000000e-002 1.010589e-002 1.549598e-004
2.000000e-002 1.980326e-002 6.163055e-004
3.000000e-002 2.910863e-002 1.371648e-003
4.000000e-002 3.803787e-002 2.409091e-003
5.000000e-002 4.660619e-002 3.717214e-003
6.000000e-002 5.482820e-002 5.285046e-003
7.000000e-002 6.271796e-002 7.102050e-003
8.000000e-002 7.028893e-002 9.158106e-003
9.000000e-002 7.755405e-002 1.144349e-002
1.000000e-001 8.452578e-002 1.394886e-002
1.100000e-001 9.121603e-002 1.666524e-002
1.200000e-001 9.763627e-002 1.958401e-002
1.300000e-001 1.037975e-001 2.269690e-002
1.400000e-001 1.097104e-001 2.599594e-002
1.500000e-001 1.153849e-001 2.947349e-002
1.600000e-001 1.208309e-001 3.312222e-002
1.700000e-001 1.260578e-001 3.693507e-002
1.800000e-001 1.310745e-001 4.090527e-002
1.900000e-001 1.358896e-001 4.502633e-002
2.000000e-001 1.405115e-001 4.929200e-002
2.100000e-001 1.449480e-001 5.369628e-002
2.200000e-001 1.492068e-001 5.823343e-002
2.300000e-001 1.532952e-001 6.289792e-002
2.400000e-001 1.572203e-001 6.768445e-002
2.500000e-001 1.609887e-001 7.258793e-002
2.600000e-001 1.646070e-001 7.760348e-002
2.700000e-001 1.680813e-001 8.272641e-002
2.800000e-001 1.714176e-001 8.795223e-002
2.900000e-001 1.746215e-001 9.327662e-002
3.000000e-001 1.776987e-001 9.869545e-002
3.100000e-001 1.806543e-001 1.042047e-001
3.200000e-001 1.834933e-001 1.098007e-001
3.300000e-001 1.862207e-001 1.154797e-001
3.400000e-001 1.888409e-001 1.212381e-001
3.500000e-001 1.913585e-001 1.270727e-001
3.600000e-001 1.937777e-001 1.329803e-001
3.700000e-001 1.961026e-001 1.389576e-001
3.800000e-001 1.983372e-001 1.450019e-001
3.900000e-001 2.004850e-001 1.511102e-001
4.000000e-001 2.025499e-001 1.572798e-001
4.100000e-001 2.045351e-001 1.635081e-001
4.200000e-001 2.064441e-001 1.697926e-001
4.300000e-001 2.082799e-001 1.761310e-001
4.400000e-001 2.100457e-001 1.825208e-001
4.500000e-001 2.117442e-001 1.889600e-001
4.600000e-001 2.133784e-001 1.954463e-001
4.700000e-001 2.149509e-001 2.019778e-001
4.800000e-001 2.164642e-001 2.085526e-001
4.900000e-001 2.179208e-001 2.151688e-001
5.000000e-001 2.193231e-001 2.218245e-001
5.100000e-001 2.206733e-001 2.285182e-001
5.200000e-001 2.219736e-001 2.352481e-001
5.300000e-001 2.232260e-001 2.420126e-001
5.400000e-001 2.244325e-001 2.488104e-001
5.500000e-001 2.255951e-001 2.556400e-001
5.600000e-001 2.267155e-001 2.624999e-001
