Solution of SBHB orbit

v_0 = 1.000000e-001, A = 1.000000, B = 1.000000, delta = 1.000000e-008

       t           rx             ry            vx             vy             2h
2.000000e-003 9.999995e-001 1.998003e-004 -4.995010e-004 9.980035e-002 2.000000e-003
8.119331e-002 9.991976e-001 7.796604e-003 -1.950692e-002 9.213015e-002 7.919331e-002
1.603866e-001 9.969466e-001 1.480367e-002 -3.712401e-002 8.490281e-002 7.919331e-002
2.417383e-001 9.932342e-001 2.142347e-002 -5.393880e-002 7.791375e-002 8.135168e-002
3.253399e-001 9.880445e-001 2.765205e-002 -7.002664e-002 7.116283e-002 8.360159e-002
4.113542e-001 9.813492e-001 3.348969e-002 -8.547895e-002 6.464306e-002 8.601433e-002
4.999784e-001 9.731058e-001 3.893651e-002 -1.003950e-001 5.834470e-002 8.862422e-002
5.914674e-001 9.632514e-001 4.399275e-002 -1.148864e-001 5.225412e-002 9.148896e-002
6.861680e-001 9.516936e-001 4.865871e-002 -1.290842e-001 4.635239e-002 9.470063e-002
7.845780e-001 9.382933e-001 5.293472e-002 -1.431484e-001 4.061293e-002 9.840999e-002
8.874587e-001 9.228346e-001 5.682095e-002 -1.572886e-001 3.499703e-002 1.028807e-001
9.960831e-001 9.049580e-001 6.031761e-002 -1.718043e-001 2.944394e-002 1.086244e-001
1.112891e+000 8.839903e-001 6.342641e-002 -1.871919e-001 2.384461e-002 1.168076e-001
1.243855e+000 8.583435e-001 6.615908e-002 -2.045153e-001 1.794707e-002 1.309638e-001
1.390463e+000 8.269057e-001 6.832926e-002 -2.245067e-001 1.171257e-002 1.466084e-001
1.501989e+000 8.009818e-001 6.938001e-002 -2.405378e-001 7.150162e-003 1.115264e-001
1.600198e+000 7.766297e-001 6.988814e-002 -2.555515e-001 3.204760e-003 9.820891e-002
1.689168e+000 7.532528e-001 7.001500e-002 -2.701298e-001 -3.543054e-004 8.896934e-002
1.770904e+000 7.305907e-001 6.985169e-002 -2.845732e-001 -3.648781e-003 8.173668e-002
1.846563e+000 7.085196e-001 6.945862e-002 -2.990610e-001 -6.753686e-003 7.565913e-002
1.916902e+000 6.869761e-001 6.887978e-002 -3.137130e-001 -9.720535e-003 7.033859e-002
1.982464e+000 6.659270e-001 6.814913e-002 -3.286153e-001 -1.258722e-002 6.556243e-002
2.043671e+000 6.453550e-001 6.729383e-002 -3.438325e-001 -1.538292e-002 6.120630e-002
2.100863e+000 6.252516e-001 6.633617e-002 -3.594155e-001 -1.813090e-002 5.719253e-002
2.154333e+000 6.056129e-001 6.529474e-002 -3.754051e-001 -2.085017e-002 5.346980e-002
2.204336e+000 5.864374e-001 6.418524e-002 -3.918348e-001 -2.355656e-002 5.000257e-002
2.251101e+000 5.677245e-001 6.302106e-002 -4.087330e-001 -2.626352e-002 4.676496e-002
2.294838e+000 5.494734e-001 6.181363e-002 -4.261239e-001 -2.898259e-002 4.373727e-002
2.335742e+000 5.316830e-001 6.057279e-002 -4.440287e-001 -3.172383e-002 4.090372e-002
2.373993e+000 5.143514e-001 5.930700e-002 -4.624664e-001 -3.449610e-002 3.825115e-002
2.409761e+000 4.974758e-001 5.802355e-002 -4.814538e-001 -3.730730e-002 3.576814e-002
2.443205e+000 4.810521e-001 5.672872e-002 -5.010065e-001 -4.016452e-002 3.344439e-002
2.474476e+000 4.650757e-001 5.542792e-002 -5.211389e-001 -4.307422e-002 3.127048e-002
2.503713e+000 4.495407e-001 5.412578e-002 -5.418645e-001 -4.604231e-002 2.923754e-002
2.531050e+000 4.344408e-001 5.282629e-002 -5.631958e-001 -4.907424e-002 2.733718e-002
2.556612e+000 4.197687e-001 5.153285e-002 -5.851449e-001 -5.217510e-002 2.556138e-002
2.580514e+000 4.055167e-001 5.024837e-002 -6.077228e-001 -5.534960e-002 2.390244e-002
2.602867e+000 3.916769e-001 4.897534e-002 -6.309399e-001 -5.860219e-002 2.235301e-002
2.623773e+000 3.782409e-001 4.771588e-002 -6.548057e-001 -6.193700e-002 2.090601e-002
2.643328e+000 3.652003e-001 4.647179e-002 -6.793284e-001 -6.535793e-002 1.955471e-002
2.661621e+000 3.525468e-001 4.524460e-002 -7.045154e-001 -6.886858e-002 1.829269e-002
2.678735e+000 3.402720e-001 4.403563e-002 -7.303724e-001 -7.247230e-002 1.711387e-002
2.694747e+000 3.283677e-001 4.284601e-002 -7.569038e-001 -7.617216e-002 1.601254e-002
2.709730e+000 3.168260e-001 4.167667e-002 -7.841120e-001 -7.997095e-002 1.498333e-002
2.723752e+000 3.056393e-001 4.052846e-002 -8.119980e-001 -8.387117e-002 1.402125e-002
2.736873e+000 2.947999e-001 3.940207e-002 -8.405604e-001 -8.787504e-002 1.312166e-002
2.749154e+000 2.843007e-001 3.829809e-002 -8.697965e-001 -9.198447e-002 1.228029e-002
2.760647e+000 2.741347e-001 3.721703e-002 -8.997014e-001 -9.620113e-002 1.149320e-002
2.771404e+000 2.642948e-001 3.615931e-002 -9.302687e-001 -1.005264e-001 1.075676e-002
2.781471e+000 2.547743e-001 3.512526e-002 -9.614905e-001 -1.049615e-001 1.006765e-002
2.790894e+000 2.455664e-001 3.411514e-002 -9.933578e-001 -1.095073e-001 9.422800e-003
2.799713e+000 2.366643e-001 3.312912e-002 -1.025861e+000 -1.141647e-001 8.819389e-003
2.807968e+000 2.280612e-001 3.216732e-002 -1.058988e+000 -1.189344e-001 8.254800e-003
2.815695e+000 2.197503e-001 3.122978e-002 -1.092730e+000 -1.238170e-001 7.726599e-003
2.822927e+000 2.117247e-001 3.031647e-002 -1.127074e+000 -1.288131e-001 7.232517e-003
2.829698e+000 2.039772e-001 2.942731e-002 -1.162011e+000 -1.339233e-001 6.770425e-003
2.836036e+000 1.965010e-001 2.856214e-002 -1.197530e+000 -1.391482e-001 6.338324e-003
2.841970e+000 1.892888e-001 2.772078e-002 -1.233622e+000 -1.444884e-001 5.934330e-003
2.847527e+000 1.823335e-001 2.690296e-002 -1.270278e+000 -1.499449e-001 5.556668e-003
2.852731e+000 1.756279e-001 2.610841e-002 -1.307489e+000 -1.555183e-001 5.203662e-003
2.857604e+000 1.691648e-001 2.533679e-002 -1.345249e+000 -1.612098e-001 4.873731e-003
2.862170e+000 1.629369e-001 2.458773e-002 -1.383552e+000 -1.670204e-001 4.565388e-003
2.866447e+000 1.569372e-001 2.386084e-002 -1.422393e+000 -1.729513e-001 4.277228e-003
2.870455e+000 1.511585e-001 2.315570e-002 -1.461769e+000 -1.790041e-001 4.007932e-003
2.874211e+000 1.455937e-001 2.247188e-002 -1.501675e+000 -1.851801e-001 3.756260e-003
2.877732e+000 1.402360e-001 2.180892e-002 -1.542111e+000 -1.914812e-001 3.521049e-003
2.881034e+000 1.350784e-001 2.116634e-002 -1.583074e+000 -1.979090e-001 3.301207e-003
2.884129e+000 1.301143e-001 2.054366e-002 -1.624566e+000 -2.044656e-001 3.095712e-003
2.887033e+000 1.253369e-001 1.994040e-002 -1.666585e+000 -2.111531e-001 2.903609e-003
2.889757e+000 1.207399e-001 1.935606e-002 -1.709135e+000 -2.179736e-001 2.724003e-003
2.892313e+000 1.163169e-001 1.879014e-002 -1.752215e+000 -2.249296e-001 2.556059e-003
2.894712e+000 1.120617e-001 1.824214e-002 -1.795830e+000 -2.320235e-001 2.398997e-003
2.896964e+000 1.079682e-001 1.771157e-002 -1.839982e+000 -2.392579e-001 2.252089e-003
2.899079e+000 1.040306e-001 1.719793e-002 -1.884674e+000 -2.466356e-001 2.114656e-003
2.901065e+000 1.002432e-001 1.670073e-002 -1.929911e+000 -2.541593e-001 1.986064e-003
2.902930e+000 9.660033e-002 1.621947e-002 -1.975698e+000 -2.618320e-001 1.865723e-003
