Solution of SBHB orbit

v_0 = 1.200000e+000, A = 0.500000, B = 0.500000, delta = 1.000000e-008

       t           rx             ry            vx             vy             2h
2.000000e-003 9.999995e-001 2.399461e-003 -4.998865e-004 1.199461e+000 2.000000e-003
7.307840e-002 9.993373e-001 8.695026e-002 -1.805591e-002 1.179306e+000 7.107840e-002
1.490691e-001 9.972731e-001 1.756819e-001 -3.611748e-002 1.155673e+000 7.599068e-002
2.285220e-001 9.936903e-001 2.664495e-001 -5.384387e-002 1.128785e+000 7.945293e-002
3.123884e-001 9.884453e-001 3.598495e-001 -7.093955e-002 1.098213e+000 8.386637e-002
4.009134e-001 9.814410e-001 4.555608e-001 -8.694147e-002 1.063804e+000 8.852506e-002
4.936911e-001 9.726881e-001 5.525066e-001 -1.013354e-001 1.025733e+000 9.277767e-002
5.905003e-001 9.622552e-001 6.498089e-001 -1.137653e-001 9.841680e-001 9.680915e-002
6.921250e-001 9.501464e-001 7.475350e-001 -1.240883e-001 9.388391e-001 1.016248e-001
8.004596e-001 9.362364e-001 8.465527e-001 -1.322390e-001 8.889036e-001 1.083345e-001
9.180004e-001 9.203215e-001 9.477724e-001 -1.380639e-001 8.331350e-001 1.175408e-001
1.036568e+000 9.037448e-001 1.043151e+000 -1.411066e-001 7.755032e-001 1.185677e-001
1.146274e+000 8.882142e-001 1.125259e+000 -1.416904e-001 7.212548e-001 1.097060e-001
1.251332e+000 8.733773e-001 1.198281e+000 -1.404952e-001 6.688184e-001 1.050584e-001
1.355579e+000 8.588574e-001 1.265287e+000 -1.378508e-001 6.167354e-001 1.042469e-001
1.459827e+000 8.446782e-001 1.326883e+000 -1.339945e-001 5.651065e-001 1.042480e-001
1.567220e+000 8.305475e-001 1.384760e+000 -1.290182e-001 5.130027e-001 1.073928e-001
1.681175e+000 8.161858e-001 1.440157e+000 -1.229297e-001 4.596347e-001 1.139546e-001
1.797644e+000 8.022581e-001 1.490644e+000 -1.161717e-001 4.078580e-001 1.164688e-001
1.914125e+000 7.891328e-001 1.535299e+000 -1.091734e-001 3.594679e-001 1.164818e-001
2.030663e+000 7.768186e-001 1.574551e+000 -1.021807e-001 3.148282e-001 1.165371e-001
2.140885e+000 7.659130e-001 1.607092e+000 -9.574362e-002 2.762225e-001 1.102222e-001
2.244780e+000 7.562700e-001 1.634040e+000 -8.993275e-002 2.430311e-001 1.038954e-001
2.344825e+000 7.475406e-001 1.656874e+000 -8.462717e-002 2.138994e-001 1.000449e-001
2.442907e+000 7.394828e-001 1.676558e+000 -7.972962e-002 1.878893e-001 9.808237e-002
2.540322e+000 7.319404e-001 1.693699e+000 -7.517476e-002 1.643903e-001 9.741448e-002
2.637741e+000 7.248262e-001 1.708657e+000 -7.092875e-002 1.430420e-001 9.741957e-002
2.735397e+000 7.180951e-001 1.721662e+000 -6.697636e-002 1.236257e-001 9.765510e-002
2.833955e+000 7.116783e-001 1.732957e+000 -6.328469e-002 1.058688e-001 9.855847e-002
2.933914e+000 7.055274e-001 1.742711e+000 -5.983104e-002 8.957546e-002 9.995870e-002
3.035664e+000 6.996064e-001 1.751051e+000 -5.659887e-002 7.459694e-002 1.017507e-001
3.139530e+000 6.938870e-001 1.758070e+000 -5.357563e-002 6.081560e-002 1.038660e-001
3.245790e+000 6.883464e-001 1.763847e+000 -5.075132e-002 4.813459e-002 1.062600e-001
3.354694e+000 6.829651e-001 1.768442e+000 -4.811761e-002 3.647140e-002 1.089040e-001
3.466475e+000 6.777258e-001 1.771909e+000 -4.566727e-002 2.575353e-002 1.117807e-001
3.581357e+000 6.726123e-001 1.774292e+000 -4.339377e-002 1.591568e-002 1.148821e-001
3.699564e+000 6.676093e-001 1.775630e+000 -4.129101e-002 6.897741e-003 1.182071e-001
