Iteration result of potential using 2D Gauss-Seidel relaxation method

Parameters : 
x \in [0.00000000e+000, 1.00000000e+002], y \in [0.00000000e+000, 1.00000000e+002]
Boundary value : all 0 
n_x = 100, n_y = 100, max_dif_tar = 1.00000001e-010

   omega    iterations
9.800000e-001 1019
9.815279e-001 1813
9.824722e-001 5732
9.840000e-001 14113
9.809443e-001 1613
9.805836e-001 801
9.803607e-001 797

\omega_b = 9.803607e-001, iteration =  797

       x             y           f(x)       
0.00000000e+000 0.00000000e+000 0.00000000e+000
0.00000000e+000 1.00000000e+000 0.00000000e+000
0.00000000e+000 2.00000000e+000 0.00000000e+000
0.00000000e+000 3.00000000e+000 0.00000000e+000
0.00000000e+000 4.00000000e+000 0.00000000e+000
0.00000000e+000 5.00000000e+000 0.00000000e+000
0.00000000e+000 6.00000000e+000 0.00000000e+000
0.00000000e+000 7.00000000e+000 0.00000000e+000
0.00000000e+000 8.00000000e+000 0.00000000e+000
0.00000000e+000 9.00000000e+000 0.00000000e+000
0.00000000e+000 1.00000000e+001 0.00000000e+000
0.00000000e+000 1.10000000e+001 0.00000000e+000
0.00000000e+000 1.20000000e+001 0.00000000e+000
0.00000000e+000 1.30000000e+001 0.00000000e+000
0.00000000e+000 1.40000000e+001 0.00000000e+000
0.00000000e+000 1.50000000e+001 0.00000000e+000
0.00000000e+000 1.60000000e+001 0.00000000e+000
0.00000000e+000 1.70000000e+001 0.00000000e+000
0.00000000e+000 1.80000000e+001 0.00000000e+000
0.00000000e+000 1.90000000e+001 0.00000000e+000
0.00000000e+000 2.00000000e+001 0.00000000e+000
0.00000000e+000 2.10000000e+001 0.00000000e+000
0.00000000e+000 2.20000000e+001 0.00000000e+000
0.00000000e+000 2.30000000e+001 0.00000000e+000
0.00000000e+000 2.40000000e+001 0.00000000e+000
0.00000000e+000 2.50000000e+001 0.00000000e+000
0.00000000e+000 2.60000000e+001 0.00000000e+000
0.00000000e+000 2.70000000e+001 0.00000000e+000
0.00000000e+000 2.80000000e+001 0.00000000e+000
0.00000000e+000 2.90000000e+001 0.00000000e+000
0.00000000e+000 3.00000000e+001 0.00000000e+000
0.00000000e+000 3.10000000e+001 0.00000000e+000
0.00000000e+000 3.20000000e+001 0.00000000e+000
0.00000000e+000 3.30000000e+001 0.00000000e+000
0.00000000e+000 3.40000000e+001 0.00000000e+000
0.00000000e+000 3.50000000e+001 0.00000000e+000
0.00000000e+000 3.60000000e+001 0.00000000e+000
0.00000000e+000 3.70000000e+001 0.00000000e+000
0.00000000e+000 3.80000000e+001 0.00000000e+000
0.00000000e+000 3.90000000e+001 0.00000000e+000
0.00000000e+000 4.00000000e+001 0.00000000e+000
0.00000000e+000 4.10000000e+001 0.00000000e+000
0.00000000e+000 4.20000000e+001 0.00000000e+000
0.00000000e+000 4.30000000e+001 0.00000000e+000
0.00000000e+000 4.40000000e+001 0.00000000e+000
0.00000000e+000 4.50000000e+001 0.00000000e+000
0.00000000e+000 4.60000000e+001 0.00000000e+000
0.00000000e+000 4.70000000e+001 0.00000000e+000
0.00000000e+000 4.80000000e+001 0.00000000e+000
0.00000000e+000 4.90000000e+001 0.00000000e+000
0.00000000e+000 5.00000000e+001 0.00000000e+000
0.00000000e+000 5.10000000e+001 0.00000000e+000
0.00000000e+000 5.20000000e+001 0.00000000e+000
0.00000000e+000 5.30000000e+001 0.00000000e+000
0.00000000e+000 5.40000000e+001 0.00000000e+000
0.00000000e+000 5.50000000e+001 0.00000000e+000
0.00000000e+000 5.60000000e+001 0.00000000e+000
0.00000000e+000 5.70000000e+001 0.00000000e+000
0.00000000e+000 5.80000000e+001 0.00000000e+000
0.00000000e+000 5.90000000e+001 0.00000000e+000
0.00000000e+000 6.00000000e+001 0.00000000e+000
