Iteration result of potential using 2D Gauss-Seidel relaxation method

Parameters : 
x \in [0.00000000e+000, 1.00000000e+002], y \in [0.00000000e+000, 1.00000000e+002]
Boundary value : all 0 
n_x = 100, n_y = 100, max_dif_tar = 1.00000001e-010

   omega    iterations
0.000000e+000 6697
3.747087e-001 3452
6.062914e-001 2031
9.810000e-001 1113
7.494173e-001 1279
8.378741e-001 835
8.925433e-001 558
9.263307e-001 357
9.472125e-001 243
9.601182e-001 313
9.392364e-001 238
9.343069e-001 300
9.422830e-001 237
9.441659e-001 228
9.453296e-001 227
9.460488e-001 225
9.464933e-001 230
9.457741e-001 225
9.456043e-001 226

\omega_b = 9.457741e-001, iteration =  225

       x             y           f(x)       
0.00000000e+000 0.00000000e+000 0.00000000e+000
0.00000000e+000 1.00000000e+000 0.00000000e+000
0.00000000e+000 2.00000000e+000 0.00000000e+000
0.00000000e+000 3.00000000e+000 0.00000000e+000
0.00000000e+000 4.00000000e+000 0.00000000e+000
0.00000000e+000 5.00000000e+000 0.00000000e+000
0.00000000e+000 6.00000000e+000 0.00000000e+000
0.00000000e+000 7.00000000e+000 0.00000000e+000
0.00000000e+000 8.00000000e+000 0.00000000e+000
0.00000000e+000 9.00000000e+000 0.00000000e+000
0.00000000e+000 1.00000000e+001 0.00000000e+000
0.00000000e+000 1.10000000e+001 0.00000000e+000
0.00000000e+000 1.20000000e+001 0.00000000e+000
0.00000000e+000 1.30000000e+001 0.00000000e+000
0.00000000e+000 1.40000000e+001 0.00000000e+000
0.00000000e+000 1.50000000e+001 0.00000000e+000
0.00000000e+000 1.60000000e+001 0.00000000e+000
0.00000000e+000 1.70000000e+001 0.00000000e+000
0.00000000e+000 1.80000000e+001 0.00000000e+000
0.00000000e+000 1.90000000e+001 0.00000000e+000
0.00000000e+000 2.00000000e+001 0.00000000e+000
0.00000000e+000 2.10000000e+001 0.00000000e+000
0.00000000e+000 2.20000000e+001 0.00000000e+000
0.00000000e+000 2.30000000e+001 0.00000000e+000
0.00000000e+000 2.40000000e+001 0.00000000e+000
0.00000000e+000 2.50000000e+001 0.00000000e+000
0.00000000e+000 2.60000000e+001 0.00000000e+000
0.00000000e+000 2.70000000e+001 0.00000000e+000
0.00000000e+000 2.80000000e+001 0.00000000e+000
0.00000000e+000 2.90000000e+001 0.00000000e+000
0.00000000e+000 3.00000000e+001 0.00000000e+000
0.00000000e+000 3.10000000e+001 0.00000000e+000
0.00000000e+000 3.20000000e+001 0.00000000e+000
0.00000000e+000 3.30000000e+001 0.00000000e+000
0.00000000e+000 3.40000000e+001 0.00000000e+000
0.00000000e+000 3.50000000e+001 0.00000000e+000
0.00000000e+000 3.60000000e+001 0.00000000e+000
0.00000000e+000 3.70000000e+001 0.00000000e+000
0.00000000e+000 3.80000000e+001 0.00000000e+000
0.00000000e+000 3.90000000e+001 0.00000000e+000
0.00000000e+000 4.00000000e+001 0.00000000e+000
0.00000000e+000 4.10000000e+001 0.00000000e+000
0.00000000e+000 4.20000000e+001 0.00000000e+000
0.00000000e+000 4.30000000e+001 0.00000000e+000
0.00000000e+000 4.40000000e+001 0.00000000e+000
0.00000000e+000 4.50000000e+001 0.00000000e+000
0.00000000e+000 4.60000000e+001 0.00000000e+000
0.00000000e+000 4.70000000e+001 0.00000000e+000
0.00000000e+000 4.80000000e+001 0.00000000e+000
0.00000000e+000 4.90000000e+001 0.00000000e+000
0.00000000e+000 5.00000000e+001 0.00000000e+000
0.00000000e+000 5.10000000e+001 0.00000000e+000
0.00000000e+000 5.20000000e+001 0.00000000e+000
0.00000000e+000 5.30000000e+001 0.00000000e+000
0.00000000e+000 5.40000000e+001 0.00000000e+000
0.00000000e+000 5.50000000e+001 0.00000000e+000
