Iteration result of trajectory using 1D relaxation method

Parameters : 
x_left = 0.00000000e+000, f_left = 0.00000000e+000
x_right = 1.00000000e+001, f_right = 0.00000000e+000
n_cell = 100, max_dif_tar = 9.99999997e-007

       x           f(x)       
0.00000000e+000, 0.00000000e+000
1.00000001e-001, 4.85417128e+000
2.00000003e-001, 9.61027622e+000
3.00000012e-001, 1.42683153e+001
4.00000006e-001, 1.88282890e+001
5.00000000e-001, 2.32901955e+001
6.00000024e-001, 2.76540356e+001
6.99999988e-001, 3.19198074e+001
8.00000012e-001, 3.60875130e+001
8.99999976e-001, 4.01571503e+001
1.00000000e+000, 4.41287231e+001
1.10000002e+000, 4.80022316e+001
1.20000005e+000, 5.17776718e+001
1.29999995e+000, 5.54550476e+001
1.39999998e+000, 5.90343590e+001
1.50000000e+000, 6.25156021e+001
1.60000002e+000, 6.58987808e+001
1.70000005e+000, 6.91838989e+001
1.79999995e+000, 7.23709488e+001
1.89999998e+000, 7.54599380e+001
2.00000000e+000, 7.84508667e+001
2.09999990e+000, 8.13437271e+001
2.20000005e+000, 8.41385269e+001
2.29999995e+000, 8.68352661e+001
2.40000010e+000, 8.94339371e+001
2.50000000e+000, 9.19345474e+001
2.59999990e+000, 9.43370972e+001
2.70000005e+000, 9.66415787e+001
2.79999995e+000, 9.88479996e+001
2.90000010e+000, 1.00956360e+002
3.00000000e+000, 1.02966652e+002
3.09999990e+000, 1.04878883e+002
3.20000005e+000, 1.06693054e+002
3.29999995e+000, 1.08409157e+002
3.40000010e+000, 1.10027199e+002
3.50000000e+000, 1.11547180e+002
3.59999990e+000, 1.12969093e+002
3.70000005e+000, 1.14292946e+002
3.79999995e+000, 1.15518738e+002
3.90000010e+000, 1.16646461e+002
4.00000000e+000, 1.17676125e+002
4.09999990e+000, 1.18607727e+002
4.19999981e+000, 1.19441261e+002
4.30000019e+000, 1.20176735e+002
4.40000010e+000, 1.20814148e+002
4.50000000e+000, 1.21353493e+002
4.59999990e+000, 1.21794777e+002
4.69999981e+000, 1.22138000e+002
4.80000019e+000, 1.22383156e+002
4.90000010e+000, 1.22530251e+002
5.00000000e+000, 1.22579285e+002
5.09999990e+000, 1.22530251e+002
5.19999981e+000, 1.22383156e+002
5.30000019e+000, 1.22138000e+002
5.40000010e+000, 1.21794777e+002
5.50000000e+000, 1.21353493e+002
5.59999990e+000, 1.20814148e+002
5.69999981e+000, 1.20176735e+002
5.80000019e+000, 1.19441261e+002
5.90000010e+000, 1.18607727e+002
6.00000000e+000, 1.17676125e+002
6.09999990e+000, 1.16646461e+002
6.19999981e+000, 1.15518738e+002
6.30000019e+000, 1.14292946e+002
6.40000010e+000, 1.12969093e+002
6.50000000e+000, 1.11547180e+002
6.59999990e+000, 1.10027199e+002
6.69999981e+000, 1.08409157e+002
6.80000019e+000, 1.06693054e+002
6.90000010e+000, 1.04878883e+002
7.00000000e+000, 1.02966652e+002
7.09999990e+000, 1.00956360e+002
7.19999981e+000, 9.88479996e+001
7.30000019e+000, 9.66415787e+001
7.40000010e+000, 9.43370972e+001
7.50000000e+000, 9.19345474e+001
7.59999990e+000, 8.94339371e+001
7.69999981e+000, 8.68352661e+001
7.80000019e+000, 8.41385269e+001
7.90000010e+000, 8.13437271e+001
8.00000000e+000, 7.84508667e+001
8.10000038e+000, 7.54599380e+001
8.19999981e+000, 7.23709488e+001
8.30000019e+000, 6.91838989e+001
8.39999962e+000, 6.58987808e+001
8.50000000e+000, 6.25156021e+001
8.60000038e+000, 5.90343590e+001
8.69999981e+000, 5.54550476e+001
8.80000019e+000, 5.17776718e+001
8.89999962e+000, 4.80022316e+001
9.00000000e+000, 4.41287231e+001
9.10000038e+000, 4.01571503e+001
9.19999981e+000, 3.60875130e+001
9.30000019e+000, 3.19198074e+001
9.39999962e+000, 2.76540356e+001
9.50000000e+000, 2.32901955e+001
9.60000038e+000, 1.88282890e+001
9.69999981e+000, 1.42683153e+001
9.80000019e+000, 9.61027622e+000
9.89999962e+000, 4.85417128e+000
1.00000000e+001, 0.00000000e+000
